Data;Type
KNYAZ VLADIMIR (SOCHI) CRUISE;internal
? ADVERTISER 242-58-30 (KNYA) CRUISES;external & internal 
"AEROFLOT INDIRECT ADVERTISING; VIAMARIS CRUISES";external & internal 
"ALMI SUPERMARKET; RADISSON ROYAL HOTEL MOSCOW (UKRAINE) CRUISES";internal 
ALYE PARUSA (S-PB) CRUISES;internal 
AVGUSTINA CRUISES;internal 
BASHKIRSKOE STEAM NAVIGATION (UFA) CRUISES;internal 
BLACK SEA CRUISES;external & internal 
CELEBRITY CRUISES CRUISE;external 
CESAR TRAVEL CRUISES;internal 
"COSTA CRUISES INDIRECT ADVERTISING; INFLOT CRUISE & FERRY CRUISES";external 
"COSTA CRUISES INDIRECT ADVERTISING; VIAMARIS CRUISES";external & internal 
COURSE TRAVEL (S-PB) CRUISES;external & internal 
CRUISE (VGRD) CRUISES;external & internal 
CRUISE-VOLNA CRUISES;internal 
DON TUR (RND) CRUISES;internal 
GAMA CRUISES;external & internal 
INCRUISES (SMR) CRUISES;external & internal 
INFLOT CRUISE & FERRY CRUISES;external 
"INFLOT CRUISE & FERRY CRUISES; OCEANIA CRUISES INDIRECT ADVERTISING";external & internal 
INFOFLOT CRUISES;external & internal 
INTERKONTAKT-T CRUISES;external & internal 
INTUR VOLGA (KZN) CRUISES;internal 
KALEYDOSKOP PUTESHESTVIY (KNYA) CRIUSE;external & internal 
LATTI (S-PB) CRUISES;internal 
MOBY SPL (S-PB) CRUISES;internal 
MOSKOVSKIY TURISTICHESKIY FLOT CRUISES;internal 
NEVSKAYA KLASSIKA (S-PB) CRUISES;internal 
"OK! INDIRECT ADVERTISING; RADISSON ROYAL HOTEL MOSCOW (UKRAINE) CRUISES";internal 
PARADISE CRUISE & FERRY CRUISES;external & internal 
PAROMNY TSENTR CRUISES;external & internal 
PLES CRUISES;internal 
RADISSON ROYAL HOTEL MOSCOW (UKRAINE) CRUISES;internal 
RECHFLOT (NVS) CRUISES;internal 
ROSTRANSTUR CRUISES;external & internal 
ROSVOYAZH (SMR) CRUISES;external & internal 
RUSICH CRUISE FLEET CRUISES;internal 
SARATOVZDRAVKURORT (SAR) KRUIZY;external & internal 
SPUTNIK-GERMES CRUISES;external & internal 
ST. PETER LINE CRUISES;external & internal 
"ST. PETER LINE CRUISES; ZENIT FOOTBALL CLUB";external & internal 
TALLINK SILJA LINE CRUISE;external & internal 
TALLINK-RU CRUISES;external 
TATFLOT (KZN) KRUIZY;external & internal 
TUR LAYNER CRUISES;external & internal 
TURFLOT CRUISES;internal 
"TYSYACHA OZER BUTTER; TYSYACHA OZER COTTAGE CHEESE; TYSYACHA OZER SLIVOCHNY CHEESE; VIKING LINE CRUISES";external & internal 
VALAAMSKIY PALOMNIK (S-PB) CRUISES;external & internal 
VIAMARIS CRUISES;external & internal 
VIKING LINE CRUISES;external & internal 
VODNYE KRUIZY (S-PB) CRUISES;internal 
VODOKHOD CRUISES;external & internal 
VOLGAWOLGA CRUISES;internal 
"VOLGAWOLGA CRUISES; YARMARKA PUTEVOK TRADE EXHIBITION";internal 
VOLGO-BALTIYSKIYE PUTESHESTVIYA CRUISES;internal 
VOSTOCHNO-SIBIRSKOE RECHNOE PAROKHODSTVO (IRK) CRUISES;internal 
WEST TRAVEL CRUISES;external & internal 
YOGA CRUISING CRUISES;external & internal 
